,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,longitude,latitude
153,154,0.22733157076,0.00178968692433,Marine Park/Floyd Bennett Field,154,Brooklyn,1009739.5763394013,155382.7275363654
154,155,0.169808473032,0.000868261018498,Marine Park/Mill Basin,155,Brooklyn,1007221.5960947797,164368.37364701182
155,156,0.144476890476,0.0010521217443,Mariners Harbor,156,Staten Island,937249.8395318985,168395.7811735198
156,157,0.131300217777,0.000354370128323,Maspeth,157,Queens,1010417.1943294182,203073.89542826265
157,158,0.0548099905515,0.000185568253002,Meatpacking/West Village West,158,Manhattan,981541.0389684737,207164.64650770277
158,159,0.064363233206,0.00017124910387,Melrose South,159,Bronx,1008064.7960436866,237431.16544439644
159,160,0.14151914297,0.000571234977994,Middle Village,160,Queens,1016906.8136053309,201091.8517176807
160,161,0.0358039100611,7.19130682992e-05,Midtown Center,161,Manhattan,990433.4079399928,215448.3552212566
161,162,0.0352698146219,4.78936962112e-05,Midtown East,162,Manhattan,991876.7479660362,215015.15063039213
162,163,0.0341768669752,4.08567804196e-05,Midtown North,163,Manhattan,990609.9396895915,217764.31486756355
163,164,0.0357716119908,5.56318237441e-05,Midtown South,164,Manhattan,988216.7209949568,212188.33534970134
164,165,0.088608036213,0.000353959317019,Midwood,165,Brooklyn,995925.2946077213,165188.59019138664
165,166,0.0688237542871,0.000255276270405,Morningside Heights,166,Manhattan,994878.8908879086,234246.39932393283
166,167,0.0908159737292,0.000167529391193,Morrisania/Melrose,167,Bronx,1011539.8096291274,240950.88052020222
167,168,0.114517434155,0.000547058100444,Mott Haven/Port Morris,168,Bronx,1007873.1427002177,233337.09665101767
168,169,0.0601046580332,0.000146027537733,Mount Hope,169,Bronx,1010185.5626859367,248688.2536837533
169,170,0.0457690091051,7.43150675972e-05,Murray Hill,170,Manhattan,990443.335463196,211693.74832368642
170,171,0.107353876244,0.000520099538161,Murray Hill-Queens,171,Queens,1037313.1812526807,219377.57962770015
171,172,0.118476116148,0.000658402501406,New Dorp/Midland Beach,172,Staten Island,955098.6735720932,147849.4226557538
172,173,0.0600639661414,0.000178329851357,North Corona,173,Queens,1022097.0660211891,213148.63353286684
173,174,0.0678177559602,0.000155928664422,Norwood,174,Bronx,1017782.4778066948,258762.20839610696
174,175,0.134897665102,0.000504920726134,Oakland Gardens,175,Queens,1052432.0316911936,210175.5606925115
175,176,0.151995190703,0.000657782126267,Oakwood,176,Staten Island,950309.4500499144,144078.34296958894
176,177,0.0715805407056,0.000198894762248,Ocean Hill,177,Brooklyn,1008827.3271579817,185992.38664525002
177,178,0.0682528770739,0.000175805409143,Ocean Parkway South,178,Brooklyn,992480.5773004964,164299.09207253158
178,179,0.0713808644377,0.000183893478476,Old Astoria,179,Queens,1004253.556890659,220334.1933472231
179,180,0.0805277671523,0.000247682193353,Ozone Park,180,Queens,1026317.3275848404,185261.75124707073
180,181,0.0895372399547,0.000306890292807,Park Slope,181,Brooklyn,989015.8190285414,184080.98649947345
181,182,0.0393606369479,9.10644156732e-05,Parkchester,182,Bronx,1023519.8694595024,244517.14112128317
182,183,0.0398262960348,9.51929451066e-05,Pelham Bay,183,Bronx,1030870.2875500694,248834.2977168113
183,184,0.260815683043,0.00198883363103,Pelham Bay Park,184,Bronx,1039636.6936350465,254089.29870933294
184,185,0.0861619681636,0.000228537100218,Pelham Parkway,185,Bronx,1025066.9315707237,250255.77464995533
185,186,0.0246963902234,3.70729416953e-05,Penn Station/Madison Sq West,186,Manhattan,986346.3434145227,211974.1576671973
186,187,0.126868431324,0.000421195755741,Port Richmond,187,Staten Island,946099.3770463467,167265.13287587464
