locationID,Borough,Zone,service_zone,count,0_tip_ratio
92,Queens,Flushing,Boro Zone,734.0,0.2983739837398374
67,Brooklyn,Dyker Heights,Boro Zone,208.0,0.2814614343707713
247,Bronx,West Concourse,Boro Zone,512.0,0.2680628272251309
252,Queens,Whitestone,Boro Zone,192.0,0.2659279778393352
219,Queens,Springfield Gardens South,Boro Zone,325.0,0.2620967741935484
130,Queens,Jamaica,Boro Zone,1538.0,0.2606779661016949
227,Brooklyn,Sunset Park East,Boro Zone,262.0,0.2548638132295719
98,Queens,Fresh Meadows,Boro Zone,201.0,0.2339930151338766
28,Queens,Briarwood/Jamaica Hills,Boro Zone,394.0,0.2324483775811209
196,Queens,Rego Park,Boro Zone,538.0,0.2323974082073434
53,Queens,College Point,Boro Zone,130.0,0.2309058614564831
225,Brooklyn,Stuyvesant Heights,Boro Zone,757.0,0.2224507787246547
220,Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone,484.0,0.2218148487626031
62,Brooklyn,Crown Heights South,Boro Zone,373.0,0.2182562902282036
157,Queens,Maspeth,Boro Zone,284.0,0.2130532633158289
188,Brooklyn,Prospect-Lefferts Gardens,Boro Zone,701.0,0.2122955784373107
89,Brooklyn,Flatbush/Ditmas Park,Boro Zone,873.0,0.2114313393073383
14,Brooklyn,Bay Ridge,Boro Zone,830.0,0.2076557418063547
10,Queens,Baisley Park,Boro Zone,712.0,0.2066163668020894
134,Queens,Kew Gardens,Boro Zone,587.0,0.2063268892794376
200,Bronx,Riverdale/North Riverdale/Fieldston,Boro Zone,320.0,0.2044728434504792
42,Manhattan,Central Harlem North,Boro Zone,3691.0,0.2023020005480953
194,Manhattan,Randalls Island,Yellow Zone,122.0,0.1967741935483871
193,Queens,Queensbridge/Ravenswood,Boro Zone,462.0,0.1962616822429906
61,Brooklyn,Crown Heights North,Boro Zone,1323.0,0.1924923614142296
160,Queens,Middle Village,Boro Zone,223.0,0.1821895424836601
70,Queens,East Elmhurst,Boro Zone,374.0,0.1773352299668089
82,Queens,Elmhurst,Boro Zone,937.0,0.176227195787098
198,Queens,Ridgewood,Boro Zone,318.0,0.1642561983471074
17,Brooklyn,Bedford,Boro Zone,787.0,0.158989898989899
83,Queens,Elmhurst/Maspeth,Boro Zone,253.0,0.1522262334536702
129,Queens,Jackson Heights,Boro Zone,957.0,0.1455734712503802
228,Brooklyn,Sunset Park West,Boro Zone,388.0,0.1340704906703524
195,Brooklyn,Red Hook,Boro Zone,308.0,0.1322455989695148
127,Manhattan,Inwood,Boro Zone,483.0,0.1292134831460674
152,Manhattan,Manhattanville,Boro Zone,977.0,0.128569548624819
37,Brooklyn,Bushwick South,Boro Zone,522.0,0.1266068396798447
74,Manhattan,East Harlem North,Boro Zone,4999.0,0.1209328204756029
41,Manhattan,Central Harlem,Boro Zone,3385.0,0.1158096411098566
95,Queens,Forest Hills,Boro Zone,1000.0,0.1114206128133704
226,Queens,Sunnyside,Boro Zone,975.0,0.1102442333785617
97,Brooklyn,Fort Greene,Boro Zone,952.0,0.1023105857066093
75,Manhattan,East Harlem South,Boro Zone,5580.0,0.1016356416888273
116,Manhattan,Hamilton Heights,Boro Zone,1408.0,0.1006145490924682
36,Brooklyn,Bushwick North,Boro Zone,315.0,0.1002546148949713
49,Brooklyn,Clinton Hill,Boro Zone,693.0,0.0976193830116917
179,Queens,Old Astoria,Boro Zone,588.0,0.0938997125519003
106,Brooklyn,Gowanus,Boro Zone,208.0,0.0906318082788671
260,Queens,Woodside,Boro Zone,512.0,0.0891675374433995
243,Manhattan,Washington Heights North,Boro Zone,700.0,0.0855327468230694
146,Queens,Long Island City/Queens Plaza,Boro Zone,554.0,0.0838631547078413
25,Brooklyn,Boerum Hill,Boro Zone,844.0,0.0802433922799011
244,Manhattan,Washington Heights South,Boro Zone,1624.0,0.0792852609481033
65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,933.0,0.0780622489959839
232,Manhattan,Two Bridges/Seward Park,Yellow Zone,819.0,0.0751100513573
7,Queens,Astoria,Boro Zone,1306.0,0.0750747298229478
45,Manhattan,Chinatown,Yellow Zone,529.0,0.073831123517097
223,Queens,Steinway,Boro Zone,623.0,0.070731153496821
257,Brooklyn,Windsor Terrace,Boro Zone,163.0,0.0661257606490872
4,Manhattan,Alphabet City,Yellow Zone,695.0,0.0629130080564859
202,Manhattan,Roosevelt Island,Boro Zone,110.0,0.0614525139664804
80,Brooklyn,East Williamsburg,Boro Zone,410.0,0.0564738292011019
